00001 A00     0 Cholera                                                      Cholera
08934 H30     0 Chorioretinal inflammation                                   Chorioretinal inflammation
08935 H300    0 Focal chorioretinal inflammation                             Focal chorioretinal inflammation
08936 H3000   0 Unspecified focal chorioretinal inflammation                 Unspecified focal chorioretinal inflammation
08937 H30001  1 Unspecified focal chorioretinal inflammation, right eye      Unspecified focal chorioretinal inflammation, right eye
08938 H30002  1 Unspecified focal chorioretinal inflammation, left eye       Unspecified focal chorioretinal inflammation, left eye
08939 H30003  1 Unspecified focal chorioretinal inflammation, bilateral      Unspecified focal chorioretinal inflammation, bilateral
08940 H30009  1 Unsp focal chorioretinal inflammation, unspecified eye       Unspecified focal chorioretinal inflammation, unspecified eye
08941 H3001   0 Focal chorioretinal inflammation, juxtapapillary             Focal chorioretinal inflammation, juxtapapillary
08942 H30011  1 Focal chorioretinal inflammation, juxtapapillary, right eye  Focal chorioretinal inflammation, juxtapapillary, right eye
08943 H30012  1 Focal chorioretinal inflammation, juxtapapillary, left eye   Focal chorioretinal inflammation, juxtapapillary, left eye
08944 H30013  1 Focal chorioretinal inflammation, juxtapapillary, bilateral  Focal chorioretinal inflammation, juxtapapillary, bilateral
08945 H30019  1 Focal chorioretinal inflammation, juxtapapillary, unsp eye   Focal chorioretinal inflammation, juxtapapillary, unspecified eye
08946 H3002   0 Focal chorioretinal inflammation of posterior pole           Focal chorioretinal inflammation of posterior pole
08947 H30021  1 Focal chorioretin inflammation of posterior pole, right eye  Focal chorioretinal inflammation of posterior pole, right eye
08948 H30022  1 Focal chorioretinal inflammation of posterior pole, left eye Focal chorioretinal inflammation of posterior pole, left eye
08949 H30023  1 Focal chorioretin inflammation of posterior pole, bilateral  Focal chorioretinal inflammation of posterior pole, bilateral
08950 H30029  1 Focal chorioretinal inflammation of posterior pole, unsp eye Focal chorioretinal inflammation of posterior pole, unspecified eye
08951 H3003   0 Focal chorioretinal inflammation, peripheral                 Focal chorioretinal inflammation, peripheral
08952 H30031  1 Focal chorioretinal inflammation, peripheral, right eye      Focal chorioretinal inflammation, peripheral, right eye
08953 H30032  1 Focal chorioretinal inflammation, peripheral, left eye       Focal chorioretinal inflammation, peripheral, left eye
08954 H30033  1 Focal chorioretinal inflammation, peripheral, bilateral      Focal chorioretinal inflammation, peripheral, bilateral
08955 H30039  1 Focal chorioretinal inflammation, peripheral, unsp eye       Focal chorioretinal inflammation, peripheral, unspecified eye
08956 H3004   0 Focal chorioretinal inflammation, macular or paramacular     Focal chorioretinal inflammation, macular or paramacular
08957 H30041  1 Focal chorioretin inflam, macular or paramacular, right eye  Focal chorioretinal inflammation, macular or paramacular, right eye
08958 H30042  1 Focal chorioretin inflam, macular or paramacular, left eye   Focal chorioretinal inflammation, macular or paramacular, left eye
08959 H30043  1 Focal chorioretin inflam, macular or paramacular, bilateral  Focal chorioretinal inflammation, macular or paramacular, bilateral
08960 H30049  1 Focal chorioretin inflam, macular or paramacular, unsp eye   Focal chorioretinal inflammation, macular or paramacular, unspecified eye
08961 H301    0 Disseminated chorioretinal inflammation                      Disseminated chorioretinal inflammation
08962 H3010   0 Unspecified disseminated chorioretinal inflammation          Unspecified disseminated chorioretinal inflammation
08963 H30101  1 Unsp disseminated chorioretinal inflammation, right eye      Unspecified disseminated chorioretinal inflammation, right eye
08964 H30102  1 Unsp disseminated chorioretinal inflammation, left eye       Unspecified disseminated chorioretinal inflammation, left eye
08965 H30103  1 Unsp disseminated chorioretinal inflammation, bilateral      Unspecified disseminated chorioretinal inflammation, bilateral
08966 H30109  1 Unsp disseminated chorioretinal inflammation, unsp eye       Unspecified disseminated chorioretinal inflammation, unspecified eye
08967 H3011   0 Disseminated chorioretinal inflammation of posterior pole    Disseminated chorioretinal inflammation of posterior pole
08968 H30111  1 Dissem chorioretin inflammation of posterior pole, right eye Disseminated chorioretinal inflammation of posterior pole, right eye
08969 H30112  1 Dissem chorioretin inflammation of posterior pole, left eye  Disseminated chorioretinal inflammation of posterior pole, left eye
08970 H30113  1 Dissem chorioretin inflammation of posterior pole, bilateral Disseminated chorioretinal inflammation of posterior pole, bilateral
08971 H30119  1 Dissem chorioretin inflammation of posterior pole, unsp eye  Disseminated chorioretinal inflammation of posterior pole, unspecified eye
08972 H3012   0 Disseminated chorioretinal inflammation, peripheral          Disseminated chorioretinal inflammation, peripheral
08973 H30121  1 Disseminated chorioretin inflammation, peripheral right eye  Disseminated chorioretinal inflammation, peripheral right eye
08974 H30122  1 Disseminated chorioretin inflammation, peripheral, left eye  Disseminated chorioretinal inflammation, peripheral, left eye
08975 H30123  1 Disseminated chorioretin inflammation, peripheral, bilateral Disseminated chorioretinal inflammation, peripheral, bilateral
08976 H30129  1 Disseminated chorioretin inflammation, peripheral, unsp eye  Disseminated chorioretinal inflammation, peripheral, unspecified eye
08977 H3013   0 Disseminated chorioretinal inflammation, generalized         Disseminated chorioretinal inflammation, generalized
08978 H30131  1 Dissem chorioretin inflammation, generalized, right eye      Disseminated chorioretinal inflammation, generalized, right eye
08979 H30132  1 Disseminated chorioretin inflammation, generalized, left eye Disseminated chorioretinal inflammation, generalized, left eye
08980 H30133  1 Dissem chorioretin inflammation, generalized, bilateral      Disseminated chorioretinal inflammation, generalized, bilateral
08981 H30139  1 Disseminated chorioretin inflammation, generalized, unsp eye Disseminated chorioretinal inflammation, generalized, unspecified eye
08982 H3014   0 Acute posterior multifocal placoid pigment epitheliopathy    Acute posterior multifocal placoid pigment epitheliopathy
08983 H30141  1 Acute post multifoc placoid pigment epitheliopathy, r eye    Acute posterior multifocal placoid pigment epitheliopathy, right eye
08984 H30142  1 Acute post multifoc placoid pigment epitheliopathy, left eye Acute posterior multifocal placoid pigment epitheliopathy, left eye
08985 H30143  1 Acute posterior multifoc placoid pigment epitheliopathy, bi  Acute posterior multifocal placoid pigment epitheliopathy, bilateral
08986 H30149  1 Acute post multifoc placoid pigment epitheliopathy, unsp eye Acute posterior multifocal placoid pigment epitheliopathy, unspecified eye
08987 H302    0 Posterior cyclitis                                           Posterior cyclitis
08988 H3020   1 Posterior cyclitis, unspecified eye                          Posterior cyclitis, unspecified eye
08989 H3021   1 Posterior cyclitis, right eye                                Posterior cyclitis, right eye
08990 H3022   1 Posterior cyclitis, left eye                                 Posterior cyclitis, left eye
